code,product_name,brands,categories_tags,countries_tags,packaging_tags,stores,purchase_places,nutriscore_grade,nova_group,ecoscore_grade,ingredients_text,nutriments.sugars_100g,nutriments.energy-kcal_100g
5449000199676,Limón & Nada Ligero,Minute Maid,beverages,france,,,,d,4.0,,"agua, zumo de limôn a partir de concentrado (9,5%), azücar, pulpa de limén, antioxidante écido ascôrbico, aromas, edulcoran glucésidos de esteviol y colorante betacaroteno,",,
5449000205261,Limón&nada ligero,Minute Maid,"beverages, carbonated-drinks, sodas, lemonade",spain,can,,"Madrid,España",e,4.0,,"Agua, zumo de limón a partir de concentrado (9,5%), azúcar, pulpa de limón, antioxidante: ácido ascórbico (E-300), aromas, edulcorante: glucósidos de esteviol (E-960) y colorante: betacaroteno (E-160a).",,
5449000227089,Minute Maid Citronnade,Minute Maid,"beverages-and-beverages-preparations, beverages, carbonated-drinks, artificially-sweetened-beverages, sodas, lemonade, sweetened-beverages",france,,,,d,4.0,,"Eau, jus de citrons à base de concentré (10%), sucre, acidifiants, citrate de sodium, acide citrique, édulcorants, acésulfame-k, aspartame, stabilisants, E1450, E444, E445, antioxydant : acide ascorbique, arôme naturels d'agrumes.",,
5449000243416,Minute Maid Orange,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, fruit-juices-from-concentrate, orange-juices, orange-juices-from-concentrate","belgium, france",brick,colruyt,,c,1.0,,JUS D'ORANGE À BASE DE CONCENTRé,,
5449000243430,Minute maid orange,Minute maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, fruit-juices-from-concentrate, orange-juices, orange-juices-from-concentrate","belgium, france",,,,c,,,,,
5449000243461,Jus d'orange,Minute Maid,"beverages-and-beverages-preparations, plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, aliments-et-boissons-a-base-de-vegetaux, boissons-a-base-de-vegetaux, jus-d-orange","belgium, france",brique,,,c,,,,,
5449000250902,Citronnade,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, carbonated-drinks, fruit-based-beverages, artificially-sweetened-beverages, sodas, diet-beverages, fruit-sodas, diet-sodas, lemon-soft-drinks, light-fruit-sodas, light-lemon-soft-drinks",france,"metal, recyclable-metals, aluminium, can, drink-can",,France,d,4.0,,Eau ; jus de citrons à base de concentrés 10% ; sucre ; acidifiants : citrate de sodium ; acide citrique ; édulcorants : acésulfame-K ; aspartame ; stabilisants : E1450 ; E444 ; E445 ; antioxydant : acide ascorbique ; arômes naturels d'agrumes.,,
54491090,Nectar d'ananas,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-nectars, pineapple-nectars",france,,,,e,,,,,
54491304,Minute Maid Orange,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, fruit-juices-from-concentrate, orange-juices, orange-juices-from-concentrate",france,,,,c,1.0,,Jus d'orange à base de concentré,,
54491809,Jus D'orange,"Minute Maid, The Coca Cola Company","plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, fruit-juices-from-concentrate, orange-juices, orange-juices-from-concentrate",france,"glass, bottle, bouteille-consignee",,France,d,1.0,,Jus d'orange à base de concentré.,,
54492189,Pomme 100% Jus,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, non-alcoholic-beverages, unsweetened-beverages, apple-juices, fruit-juices-from-concentrate, apple-juices-from-concentrate",france,"can, drink-can",,France,c,1.0,,Jus de pomme à base de concentré,,
54492196,Boisson de jus de Tomate,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-foods, fruits-and-vegetables-based-foods, vegetables-based-foods, plant-based-beverages, vegetable-based-foods-and-beverages, vegetables, juices-and-nectars, vegetable-based-beverages, tomatoes-and-their-products, vegetable-juices, tomato-juices, tomatoes",france,"can, drink-can",,,b,3.0,,"Jus de tomate à base de concentré (92%); eau, sel, acidifiant : acide citrique",,
54492967,Minute Maid Selección äpple Glas,Minute Maid,,france,,,,unknown,,,,,
54492974,Minute Maid Selección Apelsin Glas,"Coca-Cola, Minute Maid",,france,,,,unknown,,,,,
54492981,Tomate,Minute Maid,,france,,,,unknown,,,,,
54493339,Minute Maid jus de pomme,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, non-alcoholic-beverages, unsweetened-beverages, apple-juices, fruit-juices-from-concentrate, apple-juices-from-concentrate","belgium, france",,,,c,,,,,
54493483,Minute Maid,Minute Maid,beverages,france,,,,e,4.0,,"Eau Sucre, Purée de Jus de Pomme, émulsifiant: E466, Acidife Atîde Citrique, Atomes, Anq-oxydant: Aci Ascorbique, Conservateurs: Sorbate de Potassium et Metabisutfite de Sodium. Colorant : Beta Carotène",,
87303223,Minute Maid Orange,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, fruit-juices-from-concentrate, orange-juices, orange-juices-from-concentrate","belgium, france","plastic, bottle",Aéroport de Charleroi-Bruxelles-Sud,"Belgique,Charleroi",c,1.0,,"Jus d'orange à base de concentré,",,
87303483,Minute Maid Duo Tropical,Minute Maid,"plant-based-foods-and-beverages, beverages, plant-based-beverages, fruit-based-beverages, juices-and-nectars, fruit-juices, multifruit-juices","france, spain",,,,d,,,,,
